car_brand_name,25k_pct_chage,50k_pct_chage,100k_pct_chage,sold_cars,feature,Avg_1_5000_sellingprice,cluster_label
nissan altima,-7.946043140544547,-21.821243216292583,-60.91257316850643,19349,-90.67985952534356,14933.596153846154,4
ford fusion,-6.765214275406241,-29.58015547782796,-57.328469299873255,12945,-93.67383905310746,16453.571428571428,9
ford f-150,23.872558854857623,10.368294290071479,-38.12692251047726,14472,-3.8860693655481526,22083.23754789272,9
ford escape,2.2238002659351688,-16.884745539070398,-55.0100385520814,11861,-69.67098382521662,17719.41176470588,9
toyota camry,-4.799289413510159,-20.497611575804612,-52.82262846668417,12539,-78.11952945599894,15626.845637583892,9
ford focus,-3.422725918967799,-22.394306742022906,-63.85441720960435,10392,-89.67144987059505,11914.082278481013,9
ford explorer,13.516970127049573,-4.298858363156475,-69.09763567473792,7706,-59.87952391084482,24537.755102040817,2
honda accord,3.438335253857467,-10.731872646502515,-50.05821103002113,9142,-57.35174842266618,14315.044247787611,2
dodge grand caravan,9.165717390716228,-18.684870855116838,-55.2214175593828,7941,-64.74057102378342,15707.857142857143,2
honda civic,-8.232273404796722,-21.03595204857775,-55.304198542822206,7433,-84.57242399619668,13581.607142857143,2
infiniti g sedan,-10.726733682929877,-22.936139223146025,103.94813252877877,7417,70.28525962270287,23471.739130434784,2
bmw 3 series,-23.930799270908334,-40.234490958136156,-74.15265465323768,8204,-138.31794488228218,32775.82116788321,2
chevrolet malibu,6.609273574377215,-15.906787252741877,-51.916188028512636,7105,-61.2137017068773,12665.151515151516,2
chevrolet impala,53.16967744357567,-18.310221348294338,-54.3433954839259,7922,-19.483939388644572,11998.484848484848,2
toyota corolla,-14.321550035024055,-27.442066353111972,-58.868855134328,7354,-100.63247152246403,14171.176470588236,2
nissan rogue,-19.07930334204682,-27.912345374803127,-56.92636110228997,5589,-103.91800981913991,19042.105263157893,12
hyundai elantra,-9.96641028811314,-24.096271884036526,-67.55528139283733,6261,-101.617963564987,13078.807692307691,12
mercedes-benz c-class,-24.78361140075789,-38.82343790403336,-69.98448325395378,5396,-133.59153255874503,30004.283018867925,12
ford edge,1.4880443838192552,-15.895290567068932,-53.62849718464614,5913,-68.03574336789582,22257.69230769231,12
hyundai sonata,-6.995362971177575,-18.173606590301535,-56.241411941614174,6912,-81.41038150309328,14385.454545454546,12
chevrolet cruze,-1.3475504085734158,-19.556438328160578,-39.214886150330535,6348,-60.11887488706453,12503.061224489797,12
nissan maxima,19.066782452323913,4.68519170197854,-55.51490369095018,6610,-31.762929536647725,14988.709677419354,12
chevrolet silverado 1500,6.795900382863169,-13.696426522956306,-43.534088445245004,6359,-50.43461458533814,24735.148514851484,12
nissan sentra,-10.09019078701574,-26.519712833079055,-64.56747929099436,5465,-101.17738291108915,12504.594594594595,12
chrysler town and country,-9.947663922588092,-27.65183886054421,-71.86252170138889,5994,-109.46202448452118,21677.41935483871,12
jeep patriot,-12.182363091454,-32.86107831562378,-63.56149393843407,1776,-108.60493534551185,16469.444444444445,0
kia forte,-12.398087767218689,-30.085470453210682,-60.99734101484601,2750,-103.48089923527539,13081.159420289856,0
kia soul,-8.674226464176458,-27.051081691307573,-49.16649275846237,2742,-84.8918009139464,13613.068181818182,0
lexus es 350,-21.38622206983256,-40.63635934475759,-62.824224876342136,1921,-124.84680629093228,30700.0,0
acura tl,150.25585705197352,124.51785197463624,11.162891046386184,2135,285.93660007299593,8427.272727272728,0
lexus rx 350,-24.83907199896771,-37.15928622908709,-63.65834710446903,2380,-125.65670533252383,40935.294117647056,0
mazda mazda3,-33.37352040407814,-43.1331879394226,-68.0537604855434,2864,-144.56046882904417,17346.296296296296,0
mini cooper,-28.53294354817919,-44.54886094709917,-74.89990923973434,2209,-147.9817137350127,19502.5641025641,0
nissan murano,-7.627603460136589,-20.124590856298177,-63.26925702832143,2903,-91.0214513447562,21440.58823529412,0
nissan pathfinder,-1.0533082403853127,-22.823000950214517,-63.84059431598952,2152,-87.71690350658935,23465.54054054054,0
nissan versa,-16.031518726711827,-28.03092655852811,-58.58285638521203,3092,-102.64530167045197,10957.142857142857,0
toyota highlander,6.680089038926328,-5.369334379589369,-48.72280685288815,2232,-47.41205219355119,24284.615384615383,0
lexus is 250,-21.623929323070573,-35.69671545924567,-62.27971268687881,1939,-119.60035746919505,29932.5,0
mercedes-benz m-class,0.6033021978480692,-24.116496048312115,-67.08656229954404,1907,-90.59975615000809,35028.94736842105,0
gmc acadia,-7.415576513538181,-22.86012301763747,-59.742069863698,2033,-90.01776939487365,29657.14285714286,0
hyundai accent,-7.904858611034199,-17.440541800640116,-71.7695800896438,2039,-97.11498050131812,10339.024390243903,0
audi a4,7.330359362420769,-14.761344372994865,-68.07626598122255,2261,-75.50725099179664,20394.0,0
bmw x5,-21.098788600543802,-36.6133128073906,-72.82391584828962,2461,-130.536017256224,47925.98039215686,0
cadillac cts,10.662661144490468,-13.546460146539982,-64.37564961579866,1934,-67.25944861784818,18838.46153846154,0
chevrolet camaro,-22.83926834565662,-33.04412049771435,-52.6664589176275,1950,-108.54984776099847,27042.134831460673,0
chevrolet sonic,-6.336564582931283,-21.174721476043192,-60.37735849056604,1783,-87.88864454954052,10347.619047619048,0
chevrolet suburban,229.43028090457358,153.27604834471887,19.845046141364968,2401,402.5513753906574,13515.625,0
chevrolet tahoe,76.30455110716939,33.51409529328974,-30.989699955217194,3093,78.82894644524194,23683.333333333332,0
chevrolet traverse,15.433389074693427,-18.835964183513333,-44.02624558367582,2012,-47.428820692495734,20700.0,0
dodge durango,178.85226329954068,129.21198168876188,-23.43997248022016,2060,284.6242725080824,10382.142857142857,0
dodge journey,4.891893802806935,-17.680609688195993,-53.076448332304714,3100,-65.86516421769377,15482.758620689656,0
dodge ram pickup 1500,315.01141552511416,334.71033105022826,167.51679845565576,2234,817.2385450309982,3981.818181818182,0
ford e-series van,-9.454849452673637,-26.774954232625536,-46.82956915034215,1823,-83.05937283564133,21967.09677419355,0
ford expedition,39.31219784220737,5.987120090458728,-58.560887819670846,2825,-13.261569887004747,24601.020408163266,0
ford f-250 super duty,-3.3465843090632483,-13.623909481182912,-49.03900256103168,2559,-66.00949635127785,36673.4,0
ford fiesta,-8.42470579432783,-25.13086080284755,-45.23503298344604,2374,-78.79059958062142,10955.90909090909,0
ford ranger,224.14486921529178,158.09395848776876,33.503521126760575,1851,415.74234882982114,4733.333333333333,0
toyota prius,5.397516278909096,-10.421575383871362,-45.25047354209487,1839,-50.27453264705714,14138.461538461539,0
gmc sierra 1500,-0.902514791906887,-14.980878417521332,-44.482543576252326,2332,-60.365936785680546,27644.594594594593,0
honda pilot,-11.45603579911775,-22.627732803335107,-56.013460015835314,2068,-90.09722861828817,28066.666666666668,0
jeep liberty,60.16092082471922,28.59842017801453,-40.8300714909585,2555,47.929269511775246,10168.75,0
toyota sienna,0.7158085762509705,-14.21615122019314,-51.91478741269982,2824,-65.415130056642,21648.076923076922,0
