car_brand_name,25k_pct_chage,50k_pct_chage,100k_pct_chage,sold_cars,feature,cluster_label
toyota land cruiser,9012.5,8150.0,3225.0,108,20387.5,8
toyota sequoia,7642.657342657342,5612.121212121212,2182.19696969697,596,15436.975524475523,8
cadillac xlr,4733.333333333334,3500.0,2316.666666666667,26,10550.0,3
volvo xc70,3900.0,4009.722222222222,1190.0,168,9099.722222222223,3
lincoln town car,3402.7027027027025,2636.6795366795363,772.5868725868726,352,6811.9691119691115,5
maserati quattroporte,2927.777777777778,1837.5,1150.0,66,5915.277777777777,5
mitsubishi galant,3440.6162464985996,2740.261437908497,1123.5294117647059,573,7304.407096171803,5
chevrolet astro cargo,2800.0,1266.6666666666665,116.66666666666667,46,4183.333333333333,5
volvo xc90,2259.057971014493,1457.2463768115942,596.288441145281,733,4312.592788971368,5
dodge dakota,156.81169708798387,3244.0,1994.7027027027027,603,5395.514399790686,5
acura rl,156.81169708798387,3093.27731092437,1405.8823529411764,108,4655.97136095353,5
mercedes-benz clk-class,1083.177570093458,711.214953271028,285.04672897196264,477,2079.4392523364486,11
toyota celica,156.81169708798387,950.0,650.0,100,1756.811697087984,11
lexus sc 400,156.81169708798387,190.20904684673798,1700.0,15,2047.0207439347218,11
infiniti g35,1009.8591549295776,776.4587525150905,543.5878428465531,1120,2329.905750291221,11
buick lesabre,691.6666666666667,1101.388888888889,442.91666666666663,494,2235.972222222222,11
buick rendezvous,156.81169708798387,190.20904684673798,1073.076923076923,287,1420.097667011645,11
ford crown victoria,156.81169708798387,1461.904761904762,638.7755102040816,140,2257.4919691968275,11
cadillac deville,156.81169708798387,1019.3415637860081,465.02057613168733,634,1641.1738370056792,11
cadillac dts,1070.7317073170732,870.1219512195122,362.3276776246023,509,2303.1813361611876,11
cadillac eldorado,1438.4615384615386,1130.769230769231,261.53846153846155,55,2830.769230769231,11
ford econoline cargo,494.50171821305844,410.30927835051546,297.5515463917526,750,1202.3625429553265,11
ford explorer sport trac,156.81169708798387,1241.8181818181818,808.8636363636363,403,2207.4935152698017,11
ford escape hybrid,156.81169708798387,696.4285714285714,760.0,134,1613.2402685165553,11
dodge caravan,156.81169708798387,1125.0,537.5,226,1819.311697087984,11
saturn aura,573.170731707317,543.9024390243903,391.4285714285714,465,1508.5017421602786,11
saab 3-sep,156.81169708798387,846.9879518072289,300.96385542168684,354,1304.7635043168998,11
chevrolet cobalt,595.2727272727273,611.6555023923445,337.1125112511251,1652,1544.040740916197,11
pontiac vibe,800.0,440.00000000000006,418.33333333333326,246,1658.3333333333333,11
mercury mountaineer,156.81169708798387,1595.8677685950413,441.8732782369146,420,2194.55274391994,11
pontiac torrent,156.81169708798387,1712.5,1216.6666666666667,266,3085.9783637546507,11
cadillac escalade ext,698.0769230769231,518.543956043956,210.01602564102564,154,1426.6369047619048,11
chevrolet avalanche,1245.2830188679245,1305.3173241852485,686.7011564211807,1154,3237.3014994743535,11
cadillac seville,156.81169708798387,777.7777777777778,342.8571428571429,158,1277.4466177229046,11
volkswagen new beetle,706.25,297.6902173913044,102.04741379310347,799,1105.9876311844077,11
jaguar x-type,156.81169708798387,770.0,423.6363636363636,190,1350.4480607243477,11
jaguar xj-series,156.81169708798387,1824.2857142857144,624.4047619047618,175,2605.5021732784603,11
volvo v70,156.81169708798387,190.20904684673798,1349.2307692307695,165,1696.2515131654914,11
infiniti qx4,156.81169708798387,1728.5714285714284,842.8571428571429,73,2728.2402685165553,11
lexus rx 330,156.81169708798387,190.20904684673798,103.94813252877877,411,450.96887646350064,7
mercedes-benz r-class,156.81169708798387,190.20904684673798,103.94813252877877,332,450.96887646350064,7
mercedes-benz ml55 amg,156.81169708798387,190.20904684673798,103.94813252877877,1,450.96887646350064,7
mercedes-benz gla-class,156.81169708798387,190.20904684673798,103.94813252877877,2,450.96887646350064,7
land rover lr2,156.81169708798387,190.20904684673798,103.94813252877877,137,450.96887646350064,7
mercedes-benz cl-class,156.81169708798387,190.20904684673798,103.94813252877877,175,450.96887646350064,7
mercedes-benz b-class electric drive,156.81169708798387,190.20904684673798,103.94813252877877,5,450.96887646350064,7
mercedes-benz 500-class,156.81169708798387,190.20904684673798,103.94813252877877,7,450.96887646350064,7
mercedes-benz 400-class,156.81169708798387,190.20904684673798,103.94813252877877,1,450.96887646350064,7
mercedes-benz 300-class,156.81169708798387,190.20904684673798,103.94813252877877,11,450.96887646350064,7
mercedes-benz 190-class,156.81169708798387,190.20904684673798,103.94813252877877,3,450.96887646350064,7
mazda truck,156.81169708798387,190.20904684673798,103.94813252877877,8,450.96887646350064,7
mazda tribute hybrid,156.81169708798387,190.20904684673798,103.94813252877877,2,450.96887646350064,7
mazda rx-8,156.81169708798387,190.20904684673798,103.94813252877877,15,450.96887646350064,7
mazda protege5,156.81169708798387,190.20904684673798,103.94813252877877,47,450.96887646350064,7
land rover lr3,156.81169708798387,190.20904684673798,103.94813252877877,39,450.96887646350064,7
lexus es 300,156.81169708798387,190.20904684673798,614.2857142857143,381,961.3064582204362,7
mazda protege,156.81169708798387,250.0,281.25,116,688.0616970879839,7
mazda mpv,156.81169708798387,190.20904684673798,103.94813252877877,149,450.96887646350064,7
mercedes-benz 420-class,156.81169708798387,190.20904684673798,103.94813252877877,1,450.96887646350064,7
mercedes-benz sls amg,156.81169708798387,190.20904684673798,103.94813252877877,3,450.96887646350064,7
mercury cougar,156.81169708798387,190.20904684673798,53.333333333333336,38,400.35407726805516,7
mazda millenia,156.81169708798387,190.20904684673798,103.94813252877877,53,450.96887646350064,7
mitsubishi endeavor,156.81169708798387,190.20904684673798,103.94813252877877,182,450.96887646350064,7
mitsubishi eclipse,300.0,211.53846153846155,66.30434782608697,394,577.8428093645485,7
mitsubishi diamante,156.81169708798387,190.20904684673798,103.94813252877877,28,450.96887646350064,7
mitsubishi 3000gt,156.81169708798387,190.20904684673798,103.94813252877877,3,450.96887646350064,7
lamborghini gallardo,156.81169708798387,190.20904684673798,103.94813252877877,4,450.96887646350064,7
mini cooper roadster,-27.202621939464045,190.20904684673798,103.94813252877877,29,266.9545574360527,7
mini cooper paceman,-15.896051299358756,190.20904684673798,103.94813252877877,90,278.261128076158,7
mercury villager,156.81169708798387,190.20904684673798,103.94813252877877,11,450.96887646350064,7
mercury tracer,156.81169708798387,190.20904684673798,103.94813252877877,4,450.96887646350064,7
land rover discovery,156.81169708798387,190.20904684673798,103.94813252877877,11,450.96887646350064,7
mercury sable,237.5,190.20904684673798,341.6666666666667,221,769.3757135134047,7
land rover discovery series ii,156.81169708798387,190.20904684673798,103.94813252877877,27,450.96887646350064,7
land rover freelander,156.81169708798387,190.20904684673798,103.94813252877877,50,450.96887646350064,7
mercury mystique,156.81169708798387,190.20904684673798,103.94813252877877,2,450.96887646350064,7
mercury monterey,156.81169708798387,190.20904684673798,85.29411764705883,48,432.3148615817807,7
mercury montego,156.81169708798387,190.20904684673798,461.5384615384615,92,808.5592054731833,7
mercury milan hybrid,156.81169708798387,190.20904684673798,103.94813252877877,6,450.96887646350064,7
mercury milan,156.81169708798387,190.20904684673798,103.94813252877877,274,450.96887646350064,7
mercury mariner hybrid,156.81169708798387,190.20904684673798,103.94813252877877,23,450.96887646350064,7
mercury mariner,156.81169708798387,190.20904684673798,103.94813252877877,311,450.96887646350064,7
mercury marauder,156.81169708798387,190.20904684673798,103.94813252877877,4,450.96887646350064,7
mercedes-benz sls amg gt,156.81169708798387,190.20904684673798,103.94813252877877,1,450.96887646350064,7
mazda mazdaspeed3,156.81169708798387,190.20904684673798,103.94813252877877,40,450.96887646350064,7
mazda mazdaspeed mx-5 miata,156.81169708798387,190.20904684673798,103.94813252877877,3,450.96887646350064,7
lexus rx 300,156.81169708798387,190.20904684673798,103.94813252877877,334,450.96887646350064,7
lincoln zephyr,156.81169708798387,190.20904684673798,103.94813252877877,95,450.96887646350064,7
lexus ls 400,156.81169708798387,190.20904684673798,750.5747126436781,86,1097.5954565784,7
lincoln navigator l,156.81169708798387,190.20904684673798,103.94813252877877,23,450.96887646350064,7
lexus ls 430,156.81169708798387,190.20904684673798,103.94813252877877,386,450.96887646350064,7
lincoln mkz hybrid,156.81169708798387,190.20904684673798,103.94813252877877,11,450.96887646350064,7
lincoln mkc,156.81169708798387,190.20904684673798,103.94813252877877,20,450.96887646350064,7
lincoln mark viii,156.81169708798387,190.20904684673798,103.94813252877877,9,450.96887646350064,7
lexus ls 600h l,156.81169708798387,190.20904684673798,103.94813252877877,4,450.96887646350064,7
lincoln mark lt,156.81169708798387,190.20904684673798,103.94813252877877,76,450.96887646350064,7
lincoln ls,156.81169708798387,233.33333333333334,295.83333333333337,218,685.9783637546506,7
lincoln continental,156.81169708798387,192.6829268292683,197.5609756097561,67,547.0555995270083,7
lincoln blackwood,156.81169708798387,190.20904684673798,103.94813252877877,7,450.96887646350064,7
lincoln aviator,156.81169708798387,190.20904684673798,103.94813252877877,150,450.96887646350064,7
lexus sc 430,156.81169708798387,190.20904684673798,103.94813252877877,83,450.96887646350064,7
lexus lx 450,156.81169708798387,190.20904684673798,103.94813252877877,5,450.96887646350064,7
lexus lx 470,156.81169708798387,190.20904684673798,103.94813252877877,58,450.96887646350064,7
lexus rc 350,156.81169708798387,190.20904684673798,103.94813252877877,6,450.96887646350064,7
