car_brand_name,Jan-00,15001-20000
acura mdx,29053.125,32968.51852
acura tl,8427.272727,20810.22727
audi a4,20394,23303.50877
audi a6,31036.84211,36896.55172
audi s7,68200,72200
audi tt,11800,19000
bmw 7 series,13863.04348,45779.03226
bmw z3,4650,10500
buick lacrosse,13100,21098.75
buick lucerne,2300,16350
buick regal,7418.518519,16763.63636
cadillac cts,18838.46154,22582.89474
cadillac escalade,41354.54545,50240
cadillac escalade ext,5200,39700
chevrolet avalanche,1766.666667,22850
chevrolet aveo,3550,6350
chevrolet captiva sport,13750.33333,15420.86957
chevrolet cobalt,859.375,7000
chevrolet colorado,11718.75,19666.66667
chevrolet cruze,12503.06122,12946.05475
chevrolet equinox,16995,18924.8227
chevrolet express cargo,12137.5,20022.5
chevrolet impala,11998.48485,19482
chevrolet impala limited,12725,14262.37113
chevrolet malibu,12665.15152,14117.73585
chevrolet silverado 1500,24735.14851,26923.67647
chevrolet silverado 2500hd,34047.22222,37668.54839
chevrolet sonic,10347.61905,10387.57764
chevrolet suburban,13515.625,45611.18421
chevrolet tahoe,23683.33333,44000.48077
chevrolet traverse,20700,24622.01333
chevrolet volt,8500,16564.28571
chrysler 300,18725.5814,22296.59467
chrysler pt cruiser,1162.5,3600
chrysler sebring,1387.5,8100
dodge caliber,2350,11200
dodge charger,16646.22642,18989.22306
dodge durango,10382.14286,30071.65605
dodge grand caravan,15707.85714,17490.58824
dodge journey,15482.75862,16715.24164
dodge ram pickup 1500,3981.818182,20300
dodge ram pickup 2500,11133.33333,33250
ford crown victoria,350,500
ford edge,22257.69231,23349.74315
ford escape,17719.41176,18605.78652
ford escape hybrid,1400,11900
ford expedition,24601.02041,36309.13462
ford explorer,24537.7551,28483.36315
ford explorer sport trac,1100,12150
ford f-150,22083.23755,27103.11321
ford f-250 super duty,36673.4,38153.61446
ford flex,24550,24934.14634
ford focus,11914.08228,11975.40568
ford ranger,4733.333333,14758
ford taurus,12160,20157.36434
ford transit wagon,29166.66667,31600
gmc acadia,29657.14286,31179.09091
gmc sierra 1500,27644.59459,29311.95652
gmc yukon,21915.38462,44135.71429
gmc yukon xl,14410,44457.5
honda accord,14315.04425,15500.2038
honda ridgeline,21016.66667,27621.42857
hyundai santa fe,18920.83333,21408.16327
infiniti g37,5000,17100
infiniti q60 coupe,27100,28972.22222
infiniti qx56,12200,41300
jaguar xj-series,700,27600
jeep cherokee,21108.33333,23380
jeep grand cherokee,25479.44444,31564.25439
jeep liberty,10168.75,15728.94737
kia sedona,15961.53846,17550
kia sportage,16475,16716.78322
lincoln mkx,27971.42857,29694.85981
lincoln navigator,23162.5,40100
maserati quattroporte,1200,43933.33333
mazda 3,8875,13500
mazda mazda5,8033.333333,14514.28571
mazda mazda6,16107.14286,17066.46341
mercedes-benz clk-class,1783.333333,18437.5
mercedes-benz m-class,35028.94737,37209.57447
mercedes-benz s-class,46646.875,51844.65476
mitsubishi eclipse,2600,12500
mitsubishi galant,318.75,12200
mitsubishi i-miev,7871.428571,7900
mitsubishi lancer,10733.33333,10970.3125
mitsubishi lancer sportback,5600,11000
mitsubishi outlander,16260,17468.91892
nissan armada,21300,30113.88889
nissan cube,11066.66667,11150
nissan frontier,18289.13043,20797.22222
nissan maxima,14988.70968,18320
nissan murano,21440.58824,22513.40206
nissan pathfinder,23465.54054,24333.16327
nissan quest,3930.487805,22471.21212
nissan titan,17855.55556,24562.6087
nissan xterra,14728.84615,19298.57143
plymouth prowler,7100,25000
pontiac g6,2154.166667,10600
pontiac vibe,1000,10600
ram 1500,24754.63918,26224.197
subaru impreza,17192.5,17195.45455
subaru legacy,17916.66667,18628.125
subaru outback,21764.28571,23653.33333
subaru wrx,27318.75,27900
suzuki grand vitara,5200,11540
suzuki sx4,5400,7773.076923
toyota avalon,19293.18182,19791.17647
toyota fj cruiser,23433.33333,30180
toyota highlander,24284.61538,26918.10345
toyota land cruiser,600,58550
toyota prius,14138.46154,15805.88235
toyota sequoia,550,41392.85714
toyota sienna,21648.07692,22322.97297
toyota tundra,31652.17391,31793.57143
toyota venza,20400,21907.5
volkswagen golf,14191.66667,14363.63636
volkswagen golf r,25800,26900
volkswagen gti,12650,18063.88889
volkswagen new beetle,1600,10700
volkswagen touareg,10575,31905.26316
volvo s60,9517.857143,20804.32099
volvo s80,8850,25880
volvo xc70,600,31771.42857
volvo xc90,1150,29469.44444
