car_brand_name,,num_of_sold_cars,avg_price
acura cl,100001+,84,1600.0
acura cl,35001-40000,1,4900.0
acura cl,55001-60000,1,4700.0
acura cl,60001-65000,4,5025.0
acura cl,75001-80000,1,1700.0
acura cl,80001-85000,1,2200.0
acura cl,85001-90000,2,2800.0
acura cl,90001-95000,1,4400.0
acura cl,95001-100000,2,3150.0
acura ilx,1-5000,8,21643.75
acura ilx,100001+,1,14200.0
acura ilx,10001-15000,17,20667.647058823528
acura ilx,15001-20000,17,19197.058823529413
acura ilx,20001-25000,18,18833.333333333332
acura ilx,25001-30000,17,18488.235294117647
acura ilx,30001-35000,17,18076.470588235294
acura ilx,35001-40000,9,18066.666666666668
acura ilx,40001-45000,8,16731.25
acura ilx,45001-50000,6,16233.333333333334
acura ilx,50001-55000,2,13175.0
acura ilx,5001-10000,14,20732.14285714286
acura ilx,55001-60000,3,16933.333333333332
acura ilx,70001-75000,3,15500.0
acura integra,100001+,44,1127.2727272727273
acura legend,100001+,9,597.2222222222222
acura mdx,1-5000,16,29053.125
acura mdx,100001+,682,6908.394428152493
acura mdx,10001-15000,31,38558.06451612903
acura mdx,15001-20000,27,32968.51851851852
acura mdx,20001-25000,49,31118.367346938776
acura mdx,25001-30000,67,28969.402985074626
acura mdx,30001-35000,100,28355.5
acura mdx,35001-40000,92,27901.630434782608
acura mdx,40001-45000,65,26429.23076923077
acura mdx,45001-50000,52,26095.19230769231
acura mdx,50001-55000,42,25242.85714285714
acura mdx,5001-10000,14,38246.42857142857
acura mdx,55001-60000,38,23469.736842105263
acura mdx,60001-65000,29,21836.206896551725
acura mdx,65001-70000,35,21321.428571428572
acura mdx,70001-75000,42,19098.809523809523
acura mdx,75001-80000,35,18938.571428571428
acura mdx,80001-85000,42,16295.238095238095
acura mdx,85001-90000,43,14332.558139534884
acura mdx,90001-95000,48,13785.416666666666
acura mdx,95001-100000,36,12909.722222222223
acura rdx,1-5000,8,32743.75
acura rdx,100001+,73,8916.438356164384
acura rdx,10001-15000,21,29333.333333333332
acura rdx,15001-20000,12,27783.333333333332
acura rdx,20001-25000,26,24459.615384615383
acura rdx,25001-30000,36,24452.777777777777
acura rdx,30001-35000,35,23968.571428571428
acura rdx,35001-40000,28,22778.571428571428
acura rdx,40001-45000,21,21416.666666666668
acura rdx,45001-50000,25,21862.0
acura rdx,50001-55000,15,19370.0
acura rdx,5001-10000,7,29635.714285714286
acura rdx,55001-60000,14,16200.0
acura rdx,60001-65000,18,17541.666666666668
acura rdx,65001-70000,11,14959.09090909091
acura rdx,70001-75000,11,14631.818181818182
acura rdx,75001-80000,11,14090.90909090909
acura rdx,80001-85000,13,13430.76923076923
acura rdx,85001-90000,9,14322.222222222223
acura rdx,90001-95000,16,12343.75
acura rdx,95001-100000,10,11175.0
acura rl,1-5000,4,743.75
acura rl,100001+,76,3850.0
acura rl,10001-15000,1,4500.0
acura rl,25001-30000,1,21000.0
acura rl,35001-40000,1,15000.0
acura rl,40001-45000,1,16000.0
acura rl,45001-50000,1,23750.0
acura rl,50001-55000,2,8650.0
acura rl,55001-60000,1,17000.0
acura rl,60001-65000,1,13200.0
acura rl,65001-70000,2,18150.0
acura rl,70001-75000,2,10250.0
acura rl,75001-80000,3,13133.333333333334
acura rl,80001-85000,5,6380.0
acura rl,85001-90000,3,10933.333333333334
acura rl,90001-95000,2,10800.0
acura rl,95001-100000,2,11200.0
acura rlx,1-5000,1,32200.0
acura rlx,10001-15000,1,32500.0
acura rlx,15001-20000,7,30457.14285714286
acura rlx,20001-25000,2,31150.0
acura rlx,30001-35000,1,20250.0
acura rlx,35001-40000,1,28600.0
acura rlx,5001-10000,4,32975.0
acura rsx,1-5000,1,700.0
acura rsx,100001+,120,3937.9166666666665
acura rsx,50001-55000,1,5000.0
acura rsx,55001-60000,1,14700.0
acura rsx,60001-65000,1,3300.0
acura rsx,65001-70000,1,8800.0
acura rsx,70001-75000,5,7610.0
acura rsx,75001-80000,3,5616.666666666667
acura rsx,80001-85000,1,7300.0
acura rsx,85001-90000,5,7010.0
acura rsx,90001-95000,4,7550.0
acura rsx,95001-100000,8,5737.5
acura tl,1-5000,11,8427.272727272728
acura tl,100001+,906,4784.630242825607
acura tl,10001-15000,21,22407.14285714286
acura tl,15001-20000,44,20810.227272727272
acura tl,20001-25000,78,21089.74358974359
acura tl,25001-30000,124,20233.870967741936
acura tl,30001-35000,134,19817.537313432837
acura tl,35001-40000,132,19179.166666666668
acura tl,40001-45000,86,19465.697674418603
acura tl,45001-50000,82,18920.731707317074
acura tl,50001-55000,63,18365.079365079364
acura tl,5001-10000,12,22883.333333333332
acura tl,55001-60000,64,16833.59375
acura tl,60001-65000,42,15076.190476190477
acura tl,65001-70000,41,14879.268292682927
acura tl,70001-75000,40,13200.0
acura tl,75001-80000,45,11787.777777777777
acura tl,80001-85000,46,12086.95652173913
acura tl,85001-90000,45,10385.555555555555
acura tl,90001-95000,69,10197.826086956522
acura tl,95001-100000,50,9368.0
acura tlx,5001-10000,1,26200.0
acura tsx,1-5000,2,20900.0
acura tsx,100001+,223,6521.748878923767
acura tsx,10001-15000,33,17901.515151515152
acura tsx,15001-20000,34,18329.41176470588
acura tsx,20001-25000,86,17911.627906976744
acura tsx,25001-30000,158,17392.40506329114
acura tsx,30001-35000,152,17197.03947368421
acura tsx,35001-40000,103,16796.601941747573
acura tsx,40001-45000,71,16379.577464788732
acura tsx,45001-50000,51,15918.627450980392
acura tsx,50001-55000,27,15164.814814814816
acura tsx,5001-10000,8,19537.5
acura tsx,55001-60000,21,14750.0
acura tsx,60001-65000,20,14217.5
acura tsx,65001-70000,25,13148.0
acura tsx,70001-75000,15,12870.0
acura tsx,75001-80000,20,12040.0
acura tsx,80001-85000,16,11143.75
acura tsx,85001-90000,21,10076.190476190477
acura tsx,90001-95000,17,10261.764705882353
acura tsx,95001-100000,16,9206.25
acura tsx sport wagon,10001-15000,1,24000.0
acura tsx sport wagon,15001-20000,2,19400.0
acura tsx sport wagon,20001-25000,4,20787.5
acura tsx sport wagon,25001-30000,6,19000.0
acura tsx sport wagon,30001-35000,5,18810.0
acura tsx sport wagon,35001-40000,3,18466.666666666668
acura tsx sport wagon,40001-45000,4,16875.0
acura tsx sport wagon,45001-50000,4,18525.0
acura tsx sport wagon,50001-55000,3,17816.666666666668
acura tsx sport wagon,5001-10000,1,20750.0
acura tsx sport wagon,55001-60000,1,16500.0
acura tsx sport wagon,60001-65000,1,16200.0
acura tsx sport wagon,90001-95000,1,15000.0
acura zdx,100001+,1,20600.0
acura zdx,15001-20000,2,29875.0
acura zdx,20001-25000,3,28950.0
acura zdx,25001-30000,6,28825.0
acura zdx,30001-35000,5,28480.0
acura zdx,35001-40000,3,25000.0
acura zdx,40001-45000,5,26160.0
acura zdx,45001-50000,5,25250.0
acura zdx,50001-55000,1,23100.0
acura zdx,55001-60000,2,24900.0
acura zdx,60001-65000,2,25750.0
acura zdx,65001-70000,3,22583.333333333332
acura zdx,75001-80000,1,22500.0
aston martin db9,15001-20000,1,56000.0
aston martin db9,35001-40000,1,51000.0
aston martin db9,40001-45000,2,45250.0
aston martin db9,45001-50000,1,41500.0
aston martin db9,5001-10000,1,68000.0
aston martin rapide,15001-20000,1,103000.0
aston martin rapide,20001-25000,1,94500.0
aston martin v8 vantage,1-5000,1,57500.0
aston martin v8 vantage,10001-15000,2,56500.0
aston martin v8 vantage,15001-20000,1,50600.0
aston martin v8 vantage,20001-25000,2,50750.0
aston martin v8 vantage,25001-30000,5,48500.0
aston martin v8 vantage,30001-35000,1,46900.0
aston martin v8 vantage,5001-10000,3,58166.666666666664
aston martin v8 vantage,60001-65000,1,41000.0
aston martin v8 vantage,85001-90000,1,38300.0
audi a3,1-5000,20,25430.0
audi a3,100001+,38,5860.526315789473
audi a3,10001-15000,11,24118.18181818182
audi a3,15001-20000,11,20959.090909090908
audi a3,20001-25000,9,21044.444444444445
audi a3,25001-30000,2,19625.0
audi a3,30001-35000,4,16712.5
audi a3,35001-40000,5,17100.0
audi a3,40001-45000,9,16961.11111111111
audi a3,45001-50000,13,16253.846153846154
audi a3,50001-55000,9,15155.555555555555
audi a3,5001-10000,33,25098.484848484848
audi a3,55001-60000,12,14087.5
audi a3,60001-65000,7,13300.0
audi a3,65001-70000,14,11592.857142857143
audi a3,70001-75000,8,12225.0
audi a3,75001-80000,16,11678.125
audi a3,80001-85000,9,10538.888888888889
audi a3,85001-90000,13,8873.076923076924
audi a3,90001-95000,7,8742.857142857143
audi a3,95001-100000,9,7355.555555555556
audi a4,1-5000,25,20394.0
audi a4,100001+,638,4085.7366771159873
audi a4,10001-15000,45,26264.444444444445
audi a4,15001-20000,57,23303.508771929824
audi a4,20001-25000,86,21888.95348837209
audi a4,25001-30000,137,22075.912408759123
audi a4,30001-35000,128,21532.03125
audi a4,35001-40000,109,20360.550458715596
audi a4,40001-45000,75,18132.666666666668
audi a4,45001-50000,70,17383.571428571428
audi a4,50001-55000,69,15931.884057971014
audi a4,5001-10000,49,27754.081632653062
audi a4,55001-60000,74,14527.027027027027
audi a4,60001-65000,88,12725.568181818182
