category,200,7 series,a6,acadia,accord,c-class,camry,cobalt,edge,equinox,expedition,explorer,f-150,f-350 super duty,fiesta,focus,impala,jetta,m-class,malibu,maxima,mazda3,murano,mustang,odyssey,prius,regal,rio,s-class,sedona,sienna,sierra 1500,silverado 1500,tahoe,x5,xc70
1-5000,129.0,23.0,19.0,7.0,113.0,53.0,149.0,8.0,26.0,40.0,49.0,49.0,261.0,9.0,66.0,158.0,33.0,49.0,19.0,66.0,31.0,27.0,17.0,94.0,28.0,13.0,27.0,51.0,32.0,13.0,26.0,37.0,101.0,24.0,51.0,1.0
5001-10000,195.0,10.0,47.0,13.0,182.0,212.0,281.0,2.0,92.0,87.0,46.0,64.0,672.0,10.0,114.0,281.0,67.0,72.0,19.0,104.0,79.0,67.0,48.0,180.0,23.0,19.0,10.0,179.0,30.0,39.0,21.0,69.0,166.0,21.0,45.0,5.0
10001-15000,231.0,16.0,37.0,53.0,249.0,387.0,792.0,2.0,243.0,98.0,63.0,228.0,792.0,15.0,159.0,574.0,165.0,116.0,24.0,217.0,144.0,77.0,88.0,270.0,52.0,41.0,24.0,155.0,57.0,36.0,50.0,91.0,304.0,75.0,46.0,15.0
15001-20000,351.0,31.0,29.0,55.0,368.0,445.0,1038.0,2.0,584.0,141.0,104.0,559.0,795.0,17.0,250.0,986.0,225.0,141.0,47.0,265.0,235.0,94.0,97.0,344.0,85.0,51.0,33.0,155.0,84.0,16.0,111.0,92.0,340.0,104.0,51.0,7.0
20001-25000,357.0,31.0,25.0,57.0,497.0,572.0,1031.0,4.0,716.0,165.0,99.0,620.0,700.0,24.0,234.0,926.0,296.0,213.0,72.0,292.0,343.0,128.0,135.0,281.0,129.0,63.0,51.0,115.0,99.0,3.0,112.0,102.0,289.0,73.0,67.0,1.0
25001-30000,285.0,46.0,30.0,85.0,599.0,521.0,721.0,7.0,596.0,161.0,82.0,508.0,687.0,30.0,243.0,704.0,140.0,247.0,84.0,286.0,482.0,201.0,142.0,287.0,186.0,88.0,31.0,89.0,65.0,15.0,118.0,99.0,242.0,64.0,105.0,5.0
30001-35000,360.0,41.0,31.0,115.0,728.0,420.0,908.0,8.0,629.0,245.0,268.0,667.0,681.0,26.0,276.0,994.0,133.0,332.0,110.0,325.0,604.0,216.0,172.0,329.0,222.0,114.0,45.0,89.0,54.0,34.0,141.0,133.0,219.0,56.0,116.0,2.0
35001-40000,406.0,39.0,29.0,125.0,681.0,349.0,868.0,6.0,500.0,282.0,143.0,612.0,756.0,31.0,318.0,986.0,231.0,410.0,111.0,449.0,677.0,236.0,207.0,369.0,264.0,128.0,36.0,81.0,58.0,54.0,151.0,112.0,201.0,91.0,133.0,3.0
40001-45000,338.0,24.0,30.0,94.0,440.0,264.0,599.0,11.0,356.0,205.0,91.0,487.0,557.0,26.0,159.0,665.0,323.0,284.0,123.0,365.0,509.0,258.0,170.0,217.0,162.0,102.0,40.0,80.0,42.0,29.0,139.0,86.0,174.0,109.0,140.0,7.0
45001-50000,232.0,46.0,21.0,91.0,285.0,197.0,464.0,19.0,258.0,220.0,46.0,272.0,568.0,26.0,116.0,488.0,392.0,157.0,109.0,381.0,444.0,175.0,132.0,159.0,109.0,90.0,46.0,53.0,47.0,12.0,112.0,94.0,205.0,51.0,149.0,6.0
50001-55000,316.0,38.0,23.0,100.0,241.0,139.0,531.0,32.0,185.0,335.0,41.0,209.0,483.0,27.0,110.0,591.0,609.0,167.0,103.0,505.0,453.0,253.0,110.0,195.0,82.0,92.0,47.0,60.0,41.0,21.0,115.0,93.0,182.0,79.0,126.0,6.0
55001-60000,292.0,22.0,20.0,69.0,169.0,160.0,437.0,45.0,198.0,383.0,47.0,236.0,459.0,24.0,91.0,447.0,566.0,186.0,73.0,489.0,384.0,204.0,126.0,333.0,72.0,83.0,37.0,38.0,37.0,51.0,144.0,91.0,201.0,111.0,100.0,4.0
60001-65000,192.0,33.0,21.0,67.0,178.0,125.0,284.0,46.0,156.0,322.0,48.0,222.0,418.0,28.0,68.0,319.0,420.0,210.0,69.0,352.0,268.0,135.0,92.0,358.0,51.0,58.0,18.0,20.0,39.0,67.0,132.0,81.0,185.0,79.0,86.0,5.0
65001-70000,96.0,48.0,19.0,81.0,148.0,100.0,200.0,69.0,137.0,201.0,34.0,141.0,376.0,33.0,30.0,203.0,268.0,139.0,65.0,279.0,122.0,84.0,54.0,152.0,54.0,39.0,13.0,20.0,49.0,40.0,88.0,91.0,197.0,53.0,86.0,5.0
70001-75000,59.0,29.0,23.0,80.0,152.0,119.0,236.0,77.0,114.0,195.0,48.0,110.0,412.0,36.0,34.0,162.0,261.0,103.0,77.0,239.0,99.0,66.0,50.0,97.0,70.0,42.0,14.0,24.0,62.0,29.0,59.0,69.0,201.0,67.0,91.0,6.0
75001-80000,54.0,52.0,33.0,67.0,174.0,99.0,244.0,76.0,137.0,191.0,49.0,112.0,382.0,37.0,18.0,171.0,293.0,124.0,53.0,230.0,85.0,64.0,60.0,87.0,56.0,40.0,8.0,29.0,70.0,36.0,70.0,71.0,173.0,79.0,87.0,5.0
